T,p_est_bs,m_bs,time_bs
20,0.000481668,761,29.289
20,0.000271615,818,31.502
20,0.000213402,842,32.748
20,0.000511607,755,28.915
20,0.00035629,791,29.949
20,0.000431256,772,29.647
20,0.000440012,770,30.168
20,0.000260912,822,31.84
20,0.000422674,774,29.519
20,0.000300332,808,31.247
20,0.000532594,751,28.347
20,0.000338828,796,31.062
20,0.000222156,838,32.371
20,0.000238348,831,31.794
20,0.000319,802,30.957
20,0.000435612,771,29.051
20,0.000248125,827,31.953
20,0.000367196,788,30.511
20,0.0003492,793,31.09
20,0.000303366,807,31.402
20,0.000521995,753,28.216
20,0.000532594,751,28.718
20,0.000440012,770,29.335
20,0.000211268,843,32.603
20,0.000268899,819,31.124
100,0.000260912,822,148.872
100,0.00026621,820,150.47
100,0.000248125,827,150.554
100,0.00030643,806,148.028
100,0.000378436,785,142.114
100,0.000288498,812,148.501
100,0.000374652,786,146.18
100,0.000359889,790,144.454
100,0.000268899,819,149.349
100,0.000300332,808,147.628
100,0.000240756,830,153.933
100,0.00035629,791,147.967
100,0.000501426,757,138.35
100,0.000397939,780,144.248
100,0.000328765,799,143.718
100,0.000288498,812,148.448
100,0.00025572,824,149.989
100,0.00031581,803,146.708
100,0.00030643,806,147.215
100,0.000378436,785,143.176
100,0.00039002,782,141.337
100,0.000312652,804,147.812
100,0.0003492,793,145.376
100,0.000240756,830,152.294
100,0.000228956,835,152.251
1000,0.000472083,763,1377.72
1000,0.000338828,796,1440.88
1000,0.000397939,780,1417.47
1000,0.00033544,797,1453.55
1000,0.000253163,825,1499.75
1000,0.000279929,815,1465.29
1000,0.000303366,807,1438.09
1000,0.000226667,836,1526.16
1000,0.000332086,798,1439.42
1000,0.000258303,823,1477.18
1000,0.00041012,777,1395.18
1000,0.000325477,800,1440.7
1000,0.000577184,743,1334.54
1000,0.000300332,808,1448.11
1000,0.00038612,783,1409.51
1000,0.000506491,756,1348.88
1000,0.000414263,776,1394.13
1000,0.000644655,732,1311.19
1000,0.000363524,789,1398.99
1000,0.000235965,832,1493.73
1000,0.000207064,845,1542.66
1000,0.000378436,785,1401.8
1000,0.000322222,801,1429.57
1000,0.000401959,779,1402.16
1000,0.000297329,809,1442.99
